title,Average rating
Suspicion (1941),4.0
Laura (1944),4.0
"Brothers Bloom, The (2008)",4.0
Elle (2016),4.0
Revolution OS (2001),4.0
Little Caesar (1931),4.0
Fandango (1985),4.0
"Great Dictator, The (1940)",4.0
Monsters University (2013),4.0
Battle for Haditha (2007),4.0
"Loved Ones, The (2009)",4.0
Stand and Deliver (1988),4.0
She's Out of Control (1989),4.0
American Movie (1999),4.0
Breakfast on Pluto (2005),4.0
Catch Me If You Can (2002),4.0
South Pacific (1958),4.0
Mystic Pizza (1988),4.0
Amen. (2002),4.0
Revenge of the Nerds IV: Nerds in Love (1994),4.0
'Hellboy': The Seeds of Creation (2004),4.0
"Boys from Brazil, The (1978)",4.0
In China They Eat Dogs (I Kina spiser de hunde) (1999),4.0
"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press (2017)",4.0
"Broken Hearts Club, The (2000)",4.0
"Baader Meinhof Komplex, Der (2008)",4.0
"Shining, The (1980)",4.0
Frankenstein (1931),4.0
Dangerous Liaisons (1988),4.0
I Spit on Your Grave (2010),4.0
Hamlet (1996),4.0
"Yes Men, The (2003)",4.0
Oceans (Océans) (2009),4.0
Virunga (2014),4.0
Little Voice (1998),4.0
"I, Frankenstein (2014)",4.0
Dragon Ball Z: Battle of Gods (2013),4.0
"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)",4.0
Too Late for Tears (1949),4.0
Men & Chicken (2015),4.0
For Roseanna (Roseanna's Grave) (1997),4.0
Syrup (2013),4.0
Edmond (2005),4.0
"Haunting, The (1963)",4.0
Red Riding Hood (2011),4.0
6 Days to Air: The Making of South Park (2011),4.0
Tie Xi Qu: West of the Tracks (Tiexi qu) (2003),4.0
Cries and Whispers (Viskningar och rop) (1972),4.0
Flying Tigers (1942),4.0
TiMER (2009),4.0
Planet 51 (2009),4.0
Another 48 Hrs. (1990),4.0
Hiroshima Mon Amour (1959),4.0
Parasyte: Part 2 (2015),4.0
Turtle Diary (1985),4.0
High and Low (Tengoku to jigoku) (1963),4.0
Walking with Monsters (2005),4.0
Farewell My Concubine (Ba wang bie ji) (1993),4.0
"Pride of the Yankees, The (1942)",4.0
Rising Sun (1993),4.0
Spun (2001),4.0
The Hunger (1983),4.0
Hare-um Scare-um (1939),4.0
Charly (1968),4.0
Kurt & Courtney (1998),4.0
Interstate 60 (2002),4.0
Betting on Zero (2016),4.0
Rachel Getting Married (2008),4.0
Hudson Hawk (1991),4.0
"Good Year, A (2006)",4.0
Georgia (1995),4.0
"Trials of Henry Kissinger, The (2002)",4.0
My Bodyguard (1980),4.0
The Expendables 3 (2014),4.0
Throne of Blood (Kumonosu jô) (1957),4.0
The Mule (2014),4.0
Music From Another Room (1998),4.0
Henry Poole is Here (2008),4.0
Dark Skies (2013),4.0
Dane Cook: Troublemaker (2014),4.0
Larry Crowne (2011),4.0
Legend of the Guardians: The Owls of Ga'Hoole (2010),4.0
"Sugarland Express, The (1974)",4.0
Strawberry and Chocolate (Fresa y chocolate) (1993),4.0
Space Buddies (2009),4.0
Theremin: An Electronic Odyssey (1993),4.0
Butterfly (La lengua de las mariposas) (1999),4.0
Ghosts of Mississippi (1996),4.0
Girlfight (2000),4.0
"Words, The (2012)",4.0
Snowden (2016),4.0
Ari Shaffir: Double Negative (2017),4.0
"Thing from Another World, The (1951)",4.0
Nebraska (2013),4.0
"TV Set, The (2006)",4.0
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",4.0
Yankee Doodle Dandy (1942),4.0
We Could Be King (2014),4.0
True Grit (1969),4.0
Zulu (1964),4.0
Melvin and Howard (1980),4.0
Woman in Gold (2015),4.0
"Horse Whisperer, The (1998)",4.0
Foxfire (1996),4.0
Citizen X (1995),4.0
Lonesome Dove (1989),4.0
Detachment (2011),4.0
Black Butler: Book of the Atlantic (2017),4.0
Emerald Green (2016),4.0
Battleship (2012),4.0
"Holy Mountain, The (Montaña sagrada, La) (1973)",4.0
White Heat (1949),4.0
Coming Home (1978),4.0
Ashes of Time (Dung che sai duk) (1994),4.0
Contraband (2012),4.0
Man Up (2015),4.0
Nevada Smith (1966),4.0
"Blood In, Blood Out (1993)",4.0
Of Mice and Men (1939),4.0
"Weather Underground, The (2002)",4.0
Room at the Top (1959),4.0
"Color Purple, The (1985)",4.0
Delhi Belly (2011),4.0
Afonya (1975),4.0
Old Men: Robbers (1971),4.0
"Bad Seed, The (1956)",4.0
"Gauntlet, The (1977)",4.0
Soft Fruit (1999),4.0
"Simpsons: The Longest Daycare, The (2012)",4.0
Go Figure (2005),4.0
Nanny McPhee (2005),4.0
Wild at Heart (1990),4.0
Starsuckers (2009),4.0
Escape Plan (2013),4.0
"Officer and a Gentleman, An (1982)",4.0
Blue Sky (1994),4.0
Seven Days in May (1964),4.0
"Long Walk Home, The (1990)",4.0
"Dolce Vita, La (1960)",4.0
"Cranes Are Flying, The (Letyat zhuravli) (1957)",4.0
Antonio Gaudí (1985),4.0
Even the Rain (También la lluvia) (2010),4.0
Mesrine: Killer Instinct (L'instinct de mort) (2008),4.0
Coherence (2013),4.0
Fred Armisen: Standup for Drummers (2018),4.0
Audition (Ôdishon) (1999),4.0
"War Room, The (1993)",4.0
John Adams (2008),4.0
Love Live! The School Idol Movie (2015),4.0
Ruby Red (2013),4.0
Phantom of the Paradise (1974),4.0
Zero Effect (1998),4.0
Everest (1998),4.0
Time Lapse (2014),4.0
Love and a .45 (1994),4.0
Babylon 5: The Legend of the Rangers: To Live and Die in Starlight (2002),4.0
The Hero (2017),4.0
"Duchess, The (2008)",4.0
"Secret Life of Bees, The (2008)",4.0
"Night, The (Notte, La) (1960)",4.0
Solyaris (1968),4.0
Out of the Past (1947),4.0
"Battle Creek Brawl (Big Brawl, The) (1980)",4.0
Demolition (2016),4.0
Housebound (2014),4.0
"Honest Liar, An (2014)",4.0
Lonely Are the Brave (1962),4.0
"Serbian Film, A (Srpski film) (2010)",4.0
"Ex, The (2007)",4.0
Something to Talk About (1995),4.0
Cry-Baby (1990),4.0
Winchester '73 (1950),4.0
Winnie the Pooh and the Honey Tree (1966),4.0
"Strada, La (1954)",4.0
"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",4.0
"Impossible, The (Imposible, Lo) (2012)",4.0
Rosewood (1997),4.0
"Lost Weekend, The (1945)",4.0
Bob le Flambeur (1955),4.0
Gigi (1958),4.0
Kizumonogatari Part 1: Tekketsu (2016),4.0
Andrew Dice Clay: Dice Rules (1991),4.0
Message in a Bottle (1999),4.0
Life Is a Long Quiet River (La vie est un long fleuve tranquille) (1988),4.0
Le Maître d'école (1981),4.0
Fast Food Nation (2006),4.0
Death at a Funeral (2010),4.0
Anne of Green Gables (1985),4.0
Goon: Last of the Enforcers (2017),4.0
Solas (1999),4.0
Eye for an Eye (1996),4.0
Kiss of the Dragon (2001),4.0
"Snake Pit, The (1948)",4.0
Bakuman (2015),4.0
The Year My Voice Broke (1987),4.0
Now You See Me 2 (2016),4.0
"Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)",4.0
China Blue (2005),4.0
Noises Off... (1992),4.0
"Fantasticks, The (1995)",4.0
House II: The Second Story (1987),4.0
State and Main (2000),4.0
Night Flier (1997),4.0
Roger Dodger (2002),4.0
"Sand Pebbles, The (1966)",4.0
"Great Silence, The (Grande silenzio, Il) (1969)",4.0
"Crossing Guard, The (1995)",4.0
Black Rain (1989),4.0
The Electric Hotel (1908),4.0
Hysteria (2011),4.0
"Decline of Western Civilization, The (1981)",4.0
While You Were Fighting: A Thor Mockumentary (2016),4.0
"Town Called Panic, A (Panique au village) (2009)",4.0
Tabu (2012),4.0
Startup.com (2001),4.0
Chaos Theory (2007),4.0
Smoke Signals (1998),4.0
Sing (2016),4.0
"Serpent and the Rainbow, The (1988)",4.0
For Whom the Bell Tolls (1943),4.0
Dad (1989),4.0
Rocket Singh: Salesman of the Year (2009),4.0
Tampopo (1985),4.0
"Goods: Live Hard, Sell Hard, The (2009)",4.0
She's So Lovely (1997),4.0
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",4.0
Stagecoach (1939),4.0
"Boy and His Dog, A (1975)",4.0
"New World, The (2005)",4.0
"Americanization of Emily, The (1964)",4.0
Where Eagles Dare (1968),4.0
Cloud Atlas (2012),4.0
Vanya on 42nd Street (1994),4.0
Flushed Away (2006),4.0
Day of the Dead (1985),4.0
Madagascar 3: Europe's Most Wanted (2012),4.0
"Patrik Age 1.5 (Patrik 1,5) (2008)",4.0
Snatched (2017),4.0
Lilies of the Field (1963),4.0
Dragonslayer (1981),4.0
Enter the Dragon (1973),4.0
No Way Out (1987),4.0
After the Sunset (2004),4.0
Murderball (2005),4.0
Making a Murderer (2015),4.0
The Emperor's Club (2002),4.0
A Man from Boulevard des Capucines (1987),4.0
Like Crazy (2011),4.0
"Most Hated Family in America, The (2007)",4.0
"Girl Walks Home Alone at Night, A (2014)",4.0
Touch (1997),4.0
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),4.0
Limbo (1999),4.0
High Crimes (2002),4.0
THX 1138 (1971),4.0
Less Than Zero (1987),4.0
Agnes of God (1985),4.0
No Direction Home: Bob Dylan (2005),4.0
Alien: Covenant (2017),4.0
Night on Earth (1991),4.0
"Waterdance, The (1992)",4.0
The Great Train Robbery (1903),4.0
Ariel (1988),4.0
"Man Who Knew Too Much, The (1934)",4.0
Argo (2012),4.0
Big Business (1988),4.0
I Saw the Devil (Akmareul boatda) (2010),4.0
When the Levees Broke: A Requiem in Four Acts (2006),4.0
Mary and Max (2009),4.0
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",4.0
I'm Still Here (2010),4.0
"Music Man, The (1962)",4.0
Angels with Dirty Faces (1938),4.0
Agora (2009),4.0
Before Sunrise (1995),4.0
Follow the Fleet (1936),4.0
"Program, The (1993)",4.0
"Daddy, I'm A Zombie (2012)",4.0
Mommy (2014),4.0
Liberty Heights (1999),4.0
Human Planet (2011),4.0
Joe Rogan: Triggered (2016),4.0
CHiPS (2017),4.0
Why Man Creates (1968),4.0
Band of Brothers (2001),4.0
Stealing Beauty (1996),4.0
House at the End of the Street (2012),4.0
De-Lovely (2004),4.0
8 1/2 (8½) (1963),4.0
"Perks of Being a Wallflower, The (2012)",4.0
Funny Games (1997),4.0
Tears for Sale (2008),4.0
Seconds (1966),4.0
"Ipcress File, The (1965)",4.0
Last Holiday (1950),4.0
Blue in the Face (1995),4.0
Prelude to a Kiss (1992),4.0
Slackers (2002),4.0
Jim Norton: American Degenerate (2013),4.0
Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),4.0
Immortal Beloved (1994),4.0
Jiro Dreams of Sushi (2011),4.0
Gloomy Sunday (Ein Lied von Liebe und Tod) (1999),4.0
"Crucible, The (1996)",4.0
Metropolis (2001),4.0
Stoker (2013),4.0
The Man in the Moon (1991),4.0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),4.0
Solo: A Star Wars Story (2018),4.0
Chain of Fools (2000),4.0
Babylon 5: A Call to Arms (1999),4.0
Twilight Zone: The Movie (1983),4.0
Gallipoli (1981),4.0
35 Up (1991),4.0
Sapphire Blue (2014),4.0
Premium Rush (2012),4.0
Middle Men (2009),4.0
Zabriskie Point (1970),4.0
The True Memoirs of an International Assassin (2016),4.0
Manufactured Landscapes (2006),4.0
"Man Vanishes, A (Ningen Johatsu) (1967)",4.0
Jesus Camp (2006),4.0
"Mondays in the Sun (Lunes al sol, Los) (2002)",4.0
Kirikou and the Sorceress (Kirikou et la sorcière) (1998),4.0
And God Created Woman (Et Dieu... créa la femme) (1956),4.0
Cookie's Fortune (1999),4.0
Frankenstein 90 (1984),4.0
In the Heart of the Sea (2015),4.0
"Long, Hot Summer, The (1958)",4.0
Confessions (Kokuhaku) (2010),4.0
Gangster No. 1 (2000),4.0
Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),4.0
"Divo, Il (2008)",4.0
Alaska: Spirit of the Wild (1997),4.0
"Right Stuff, The (1983)",4.0
"Circus, The (1928)",4.0
Hud (1963),4.0
South Park: Imaginationland (2008),4.0
3 Ninjas: High Noon On Mega Mountain (1998),4.0
Just Eat It: A Food Waste Story (2014),4.0
Mister Roberts (1955),4.0
Jimmy Carr: Telling Jokes (2009),4.0
"11th Hour, The (2007)",4.0
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),4.0
Green Street Hooligans (a.k.a. Hooligans) (2005),4.0
"Passage to India, A (1984)",4.0
"Women, The (1939)",4.0
"Boys of St. Vincent, The (1992)",4.0
"Three Faces of Eve, The (1957)",4.0
Angel-A (2005),4.0
Rush (1991),4.0
"Vanishing, The (Spoorloos) (1988)",4.0
Best Seller (1987),4.0
Animal Crackers (1930),4.0
Jackass 3.5 (2011),4.0
Nobody Loves Me (Keiner liebt mich) (1994),4.0
Lost in Austen (2008),4.0
Wolf Children (Okami kodomo no ame to yuki) (2012),4.0
Calvary (2014),4.0
And Now... Ladies and Gentlemen... (2002),4.0
Trust (1990),4.0
"Soldier's Story, A (1984)",4.0
The Spiral Staircase (1945),4.0
In America (2002),4.0
Grizzly Man (2005),4.0
Your Name. (2016),4.0
Tender Mercies (1983),4.0
"Whistleblower, The (2010)",4.0
Johnny Be Good (1988),4.0
Harley Davidson and the Marlboro Man (1991),4.0
Jeff Ross Roasts Criminals: Live at Brazos County Jail (2015),4.0
Return to Never Land (2002),4.0
Get a Job (2016),4.0
Kizumonogatari II: Passionate Blood (2016),4.0
"Paper Chase, The (1973)",4.0
Earthlings (2006),4.0
"Child, The (L'enfant) (2005)",4.0
Skipped Parts (2000),4.0
Lost Horizon (1937),4.0
Unedited Footage of a Bear (2014),4.0
State of Play (2009),4.0
"Sum of Us, The (1994)",4.0
Mrs. Parker and the Vicious Circle (1994),4.0
Mrs. Dalloway (1997),4.0
Never Let Me Go (2010),4.0
"Ear, The (Ucho) (1970)",4.0
Welcome to Woop-Woop (1997),4.0
Sunshine State (2002),4.0
"Batman: The Dark Knight Returns, Part 2 (2013)",4.0
"Fighting Seabees, The (1944)",4.0
3:10 to Yuma (1957),4.0
Mo' Better Blues (1990),4.0
Smashed (2012),4.0
127 Hours (2010),4.0
Sweeney Todd (2006),4.0
Fading Gigolo (2013),4.0
"Everlasting Piece, An (2000)",4.0
Manhunter (1986),4.0
Boccaccio '70 (1962),4.0
"Twilight Samurai, The (Tasogare Seibei) (2002)",4.0
"Haunted World of Edward D. Wood Jr., The (1996)",4.0
Babylon 5: The River of Souls (1998),4.0
Night of the Creeps (1986),4.0
Days of Heaven (1978),4.0
Brubaker (1980),4.0
Scorpio (1973),4.0
Patton Oswalt: Tragedy Plus Comedy Equals Time (2014),4.0
"Guard, The (2011)",4.0
My Sister's Keeper (2009),4.0
Wizards of Waverly Place: The Movie (2009),4.0
"Bang, Bang, You're Dead (2002)",4.0
Hopscotch (1980),4.0
Smooth Talk (1985),4.0
Beer League (2006),4.0
Waydowntown (2000),4.0
"Doctor, The (1991)",4.0
Life-Size (2000),4.0
"Impostors, The (1998)",4.0
Gods and Monsters (1998),4.0
Antichrist (2009),4.0
Atlantic City (1980),4.0
Chasuke's Journey (2015),4.0
Under the Sand (2000),4.0
Dear Zachary: A Letter to a Son About His Father (2008),4.0
"War Zone, The (1999)",4.0
Rare Birds (2001),4.0
"Sunset Limited, The (2011)",4.0
Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6) (1964),4.0
Family Guy Presents: Blue Harvest (2007),4.0
The Boss Baby (2017),4.0
Things You Can Tell Just by Looking at Her (2000),4.0
In Like Flint (1967),4.0
Red Army (2014),4.0
"Unknown Known, The (2013)",4.0
Castaway on the Moon (Kimssi pyoryugi) (2009),4.0
"Prophet, A (Un Prophète) (2009)",4.0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.0
Passion Fish (1992),4.0
Babylon 5,4.0
Naked (1993),4.0
Frenzy (1972),4.0
Waiting for 'Superman' (2010),4.0
Milagro Beanfield War (1988),4.0
"Raisin in the Sun, A (1961)",4.0
It's My Party (1996),4.0
Love at First Bite (1979),4.0
Scarface (1932),4.0
"Unsinkable Molly Brown, The (1964)",4.0
At Close Range (1986),4.0
Oxygen (1999),4.0
Taken 2 (2012),4.0
Johnny Stecchino (1991),4.0
"Bourne Identity, The (1988)",4.0
Death Note Rewrite: Genshisuru Kami (2007),4.0
Drowning by Numbers (1988),4.0
Nobody's Fool (1994),4.0
Invasion of the Body Snatchers (1978),4.0
While We're Young (2014),4.0
Porky in Wackyland (1938),4.0
Bronson (2009),4.0
Hope and Glory (1987),4.0
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",4.0
Closer to the Moon (2013),4.0
Born to Kill (1947),4.0
7 Days in Hell (2015),4.0
Mandela: Long Walk to Freedom (2013),4.0
Fracchia contro Dracula (1985),4.0
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",4.0
Scorched (2003),4.0
Purple Butterfly (Zi hudie) (2003),4.0
Turtles Can Fly (Lakposhtha hâm parvaz mikonand) (2004),4.0
Phantoms (1998),4.0
"Informant!, The (2009)",4.0
Limelight (1952),4.0
Wolf and Calf (1984),4.0
Grand Hotel (1932),4.0
Sweet Smell of Success (1957),4.0
Pauline at the Beach (Pauline à la Plage) (1983),4.0
Trail of the Pink Panther (1982),4.0
Silverado (1985),4.0
Stuart Little 2 (2002),4.0
Watch Out for the Automobile (Beregis avtomobilya) (1966),4.0
"Morning After, The (1986)",4.0
"Matador, The (2005)",4.0
"Night of the Hunter, The (1955)",4.0
Religulous (2008),4.0
"Art of Getting By, The (2011)",4.0
Risk (2016),4.0
"Three Musketeers, The (1973)",4.0
Army of Darkness (1993),4.0
Topsy-Turvy (1999),4.0
Heart of a Dog (Sobachye serdtse) (1988),4.0
Repo Men (2010),4.0
Jeffrey (1995),4.0
"Power of One, The (1992)",4.0
Jean de Florette (1986),4.0
"Dinner Game, The (Dîner de cons, Le) (1998)",4.0
"Eye for an Eye, An (1981)",4.0
Good Will Hunting (1997),3.9935897435897436
"Beautiful Mind, A (2001)",3.9927536231884058
Dead Poets Society (1989),3.988095238095238
Brazil (1985),3.9838709677419355
Back to the Future (1985),3.980952380952381
Dead Man Walking (1995),3.9761904761904763
L.A. Confidential (1997),3.975806451612903
Seven (a.k.a. Se7en) (1995),3.975609756097561
Shaun of the Dead (2004),3.975
Citizen Kane (1941),3.9743589743589745
"Fish Called Wanda, A (1988)",3.9743589743589745
"Gods Must Be Crazy, The (1980)",3.973684210526316
Little Women (1994),3.9722222222222223
28 Days Later (2002),3.9705882352941178
"Lord of the Rings: The Two Towers, The (2002)",3.967889908256881
Hot Fuzz (2007),3.967741935483871
"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)",3.966666666666667
Interstellar (2014),3.965909090909091
Terminator 2: Judgment Day (1991),3.9651162790697674
Caddyshack (1980),3.9642857142857144
"Lion King, The (1994)",3.9635416666666665
Willy Wonka & the Chocolate Factory (1971),3.962121212121212
All the President's Men (1976),3.9615384615384617
"Lock, Stock & Two Smoking Barrels (1998)",3.9615384615384617
Shine (1996),3.9615384615384617
Harry Potter and the Deathly Hallows: Part 1 (2010),3.96
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),3.9583333333333335
Up (2009),3.957627118644068
Stand by Me (1986),3.9555555555555557
Wall Street (1987),3.9545454545454546
"Fisher King, The (1991)",3.9545454545454546
"Last Samurai, The (2003)",3.9545454545454546
Thor: Ragnarok (2017),3.9545454545454546
Searching for Bobby Fischer (1993),3.9523809523809526
Fantastic Mr. Fox (2009),3.95
Smoke (1995),3.95
Papillon (1973),3.95
"Red Violin, The (Violon rouge, Le) (1998)",3.95
Blood Diamond (2006),3.95
"Clockwork Orange, A (1971)",3.9477611940298507
Like Water for Chocolate (Como agua para chocolate) (1992),3.9473684210526314
Skyfall (2012),3.9464285714285716
Avengers: Infinity War - Part I (2018),3.9444444444444446
"American Tail, An (1986)",3.9444444444444446
Jackass: The Movie (2002),3.9444444444444446
Metropolis (1927),3.9444444444444446
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),3.9430379746835444
Manhattan (1979),3.9411764705882355
Monty Python's The Meaning of Life (1983),3.9411764705882355
Little Miss Sunshine (2006),3.9404761904761907
M*A*S*H (a.k.a. MASH) (1970),3.94
"Animatrix, The (2003)",3.9375
Sherlock Holmes: A Game of Shadows (2011),3.9375
Moonrise Kingdom (2012),3.9375
Much Ado About Nothing (1993),3.9375
Once Were Warriors (1994),3.9375
"Straight Story, The (1999)",3.9375
Gladiator (2000),3.9362745098039214
"American President, The (1995)",3.9358974358974357
"King's Speech, The (2010)",3.935483870967742
21 Jump Street (2012),3.933333333333333
Arsenic and Old Lace (1944),3.933333333333333
"Fugitive, The (1993)",3.9306930693069306
Braveheart (1995),3.9296296296296296
Defiance (2008),3.9285714285714284
Gandhi (1982),3.9285714285714284
Tremors (1990),3.9285714285714284
"Odd Couple, The (1968)",3.9285714285714284
"General, The (1926)",3.9285714285714284
Into the Wild (2007),3.9285714285714284
Rebel Without a Cause (1955),3.9285714285714284
Waking Life (2001),3.9285714285714284
Amores Perros (Love's a Bitch) (2000),3.9285714285714284
Traffic (2000),3.9285714285714284
"Limey, The (1999)",3.9285714285714284
Frost/Nixon (2008),3.9285714285714284
Once Upon a Time in America (1984),3.9285714285714284
Kramer vs. Kramer (1979),3.9285714285714284
"Big Lebowski, The (1998)",3.9274193548387095
Wallace & Gromit: The Wrong Trousers (1993),3.926470588235294
"Terminator, The (1984)",3.925675675675676
Kill Bill: Vol. 1 (2003),3.925
Star Trek (2009),3.9242424242424243
Run Lola Run (Lola rennt) (1998),3.9239130434782608
"Downfall (Untergang, Der) (2004)",3.923076923076923
X-Men: Days of Future Past (2014),3.923076923076923
Pi (1998),3.923076923076923
Ant-Man (2015),3.923076923076923
Scarface (1983),3.923076923076923
Sin City (2005),3.922222222222222
"Monsters, Inc. (2001)",3.9220779220779223
Intouchables (2011),3.9210526315789473
"Madness of King George, The (1994)",3.9210526315789473
Out of Sight (1998),3.9210526315789473
"Prestige, The (2006)",3.92
Tommy Boy (1995),3.9193548387096775
Mulholland Drive (2001),3.9193548387096775
Butch Cassidy and the Sundance Kid (1969),3.918918918918919
Finding Nemo (2003),3.91875
Heavenly Creatures (1994),3.9166666666666665
Scenes From a Marriage (Scener ur ett äktenskap) (1973),3.9166666666666665
Children of Men (2006),3.9166666666666665
Brüno (Bruno) (2009),3.9166666666666665
Tinker Tailor Soldier Spy (2011),3.9166666666666665
Meet Me in St. Louis (1944),3.9166666666666665
Fury (2014),3.9166666666666665
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),3.9166666666666665
Lilo & Stitch (2002),3.9166666666666665
Frida (2002),3.9166666666666665
Beautiful Girls (1996),3.9166666666666665
"Warriors, The (1979)",3.9166666666666665
Drunken Master (Jui kuen) (1978),3.9166666666666665
"Kingdom, The (2007)",3.9166666666666665
Doctor Dolittle (1967),3.9166666666666665
Puss in Boots (2011),3.9166666666666665
"Treasure of the Sierra Madre, The (1948)",3.9166666666666665
"Dead Zone, The (1983)",3.9166666666666665
Touching the Void (2003),3.9166666666666665
"Lincoln Lawyer, The (2011)",3.9166666666666665
Gran Torino (2008),3.913793103448276
Love Actually (2003),3.913793103448276
Her (2013),3.911764705882353
Bound (1996),3.911764705882353
Toy Story (1995),3.91015625
Duck Soup (1933),3.909090909090909
"Blues Brothers, The (1980)",3.909090909090909
"Graduate, The (1967)",3.90625
Arrival (2016),3.90625
American Psycho (2000),3.9054054054054053
Forgetting Sarah Marshall (2008),3.9047619047619047
Zombieland (2009),3.903225806451613
Never Cry Wolf (1983),3.9
Deliverance (1972),3.9
Swiss Family Robinson (1960),3.9
"Science of Sleep, The (La science des rêves) (2006)",3.9
End of Watch (2012),3.9
"Man with the Golden Gun, The (1974)",3.9
Wallace & Gromit: A Close Shave (1995),3.9
"Brothers McMullen, The (1995)",3.9
Of Mice and Men (1992),3.9
Show Me Love (Fucking Åmål) (1998),3.9
"Sea Inside, The (Mar adentro) (2004)",3.9
Strictly Ballroom (1992),3.9
"World's Fastest Indian, The (2005)",3.9
Michael Clayton (2007),3.9
Croupier (1998),3.9
Jackass 3D (2010),3.9
Django Unchained (2012),3.897727272727273
"Pursuit of Happyness, The (2006)",3.896551724137931
V for Vendetta (2006),3.8962264150943398
Jackie Brown (1997),3.8958333333333335
Jaws (1975),3.8958333333333335
Misery (1990),3.8958333333333335
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.8947368421052633
Crash (2004),3.892857142857143
The Hunger Games: Mockingjay - Part 1 (2014),3.892857142857143
Chicago (2002),3.892857142857143
Finding Forrester (2000),3.892857142857143
"Town, The (2010)",3.892857142857143
Princess Mononoke (Mononoke-hime) (1997),3.891304347826087
X-Men: First Class (2011),3.891304347826087
"Road Warrior, The (Mad Max 2) (1981)",3.891304347826087
Collateral (2004),3.891304347826087
Million Dollar Baby (2004),3.890625
Being John Malkovich (1999),3.889830508474576
"Man Without a Face, The (1993)",3.888888888888889
"Evil Dead, The (1981)",3.888888888888889
Fear and Loathing in Las Vegas (1998),3.888888888888889
Battle Royale (Batoru rowaiaru) (2000),3.888888888888889
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",3.8863636363636362
Secretary (2002),3.8846153846153846
"Sound of Music, The (1965)",3.8846153846153846
Heat (1995),3.8813559322033897
Rounders (1998),3.880952380952381
"Good Morning, Vietnam (1987)",3.880952380952381
Hero (Ying xiong) (2002),3.880952380952381
"Dirty Dozen, The (1967)",3.880952380952381
"Hunt for Red October, The (1990)",3.88
"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",3.875
Finding Dory (2016),3.875
Hannah and Her Sisters (1986),3.875
"Batman: The Dark Knight Returns, Part 1 (2012)",3.875
Following (1998),3.875
The Hateful Eight (2015),3.875
Fireworks (Hana-bi) (1997),3.875
Guys and Dolls (1955),3.875
Ladder 49 (2004),3.875
Alien (1979),3.875
Hell or High Water (2016),3.875
"Guns of Navarone, The (1961)",3.875
"Conformist, The (Conformista, Il) (1970)",3.875
"Messenger: The Story of Joan of Arc, The (1999)",3.875
This Is England (2006),3.875
Tangled (2010),3.875
Drag Me to Hell (2009),3.875
We Were Soldiers (2002),3.875
"Femme Nikita, La (Nikita) (1990)",3.875
Delicatessen (1991),3.875
Night at the Museum: Secret of the Tomb (2014),3.875
White Christmas (1954),3.875
Ordinary People (1980),3.875
Waitress (2007),3.875
"Mighty Wind, A (2003)",3.875
"Hobbit: An Unexpected Journey, The (2012)",3.875
Fahrenheit 451 (1966),3.875
Saving Grace (2000),3.875
Clerks (1994),3.8728813559322033
"Wizard of Oz, The (1939)",3.872549019607843
Aliens (1986),3.8716216216216215
Blazing Saddles (1974),3.8714285714285714
Groundhog Day (1993),3.869047619047619
Kiss Kiss Bang Bang (2005),3.8684210526315788
"Sting, The (1973)",3.8676470588235294
Sleepers (1996),3.8666666666666667
Rogue One: A Star Wars Story (2016),3.8666666666666667
Boyhood (2014),3.8636363636363638
The Revenant (2015),3.8636363636363638
Live and Let Die (1973),3.8636363636363638
Hotel Rwanda (2004),3.8636363636363638
Blow (2001),3.8620689655172415
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.86144578313253
Big Fish (2003),3.861111111111111
Terms of Endearment (1983),3.857142857142857
Dog Day Afternoon (1975),3.857142857142857
Shaolin Soccer (Siu lam juk kau) (2001),3.857142857142857
When a Man Loves a Woman (1994),3.857142857142857
Clerks II (2006),3.857142857142857
Body Heat (1981),3.857142857142857
Summer of Sam (1999),3.857142857142857
"Das Experiment (Experiment, The) (2001)",3.857142857142857
